ds,yhat,yhat_lower,yhat_upper
2022-01-01,-54.573506246454826,-669.0932349010698,566.6123401397556
2022-01-02,35.79892940441602,-605.2621300469158,635.8122813173607
2022-01-03,-43.187656079800576,-677.9888190608975,563.4425636117473
2022-01-04,28.85186532888474,-583.1864408281853,689.951332296777
2022-01-05,75.22269533889096,-561.4463821388538,725.2248795119489
2022-01-06,42.69413497220371,-546.012522601807,654.3982693354989
2022-01-07,-14.332382411031034,-629.1041757150615,601.7567586052782
2022-01-08,-37.88250443293656,-633.581416341546,613.5075891578409
2022-01-09,59.981282704402446,-557.189289774872,664.2290875167196
2022-01-10,-11.397548936118355,-630.3968905460357,652.5885252048362
2022-01-11,68.1731356849343,-519.1112485963874,675.0350347033783
2022-01-12,121.80000718626675,-497.5345257396658,763.2622568509698
2022-01-14,45.14205447688198,-615.4336290719697,676.3610587904146
2022-01-15,26.856731918205043,-531.9900032674661,678.5282489997785
2022-01-16,128.96815638529023,-488.03114215300104,716.1648650798921
2022-01-17,60.67334142748201,-612.4584434438054,716.3294563026257
2022-01-18,142.0428615412551,-529.2482191261195,727.0295719937398
2022-01-19,196.09042846080308,-419.8026379907812,838.1490922532557
2022-01-20,169.32526435635566,-417.6809115636664,810.5561372638406
2022-01-21,115.92776515785738,-525.1059870185984,721.710568065462
2022-01-22,93.69698829973666,-515.9996534477616,708.9926702400764
2022-01-23,190.44647908412588,-419.88682821198194,859.8684557840234
2022-01-24,115.45137580319789,-480.60113056228755,722.295160238853
2022-01-25,188.89402218955462,-422.2407207010064,827.2261764331279
2022-01-26,233.93125955199343,-383.230328015152,841.8826326233597
2022-01-27,197.24369256521953,-455.4348443631381,833.9193767912284
2022-01-28,133.20750022827096,-483.7818563508501,728.9006903441233
2022-01-29,99.83742456990296,-566.2108071698125,722.2212446344585
2022-01-30,185.1775669260232,-435.88783804041356,780.7884849570961
2022-01-31,98.74306174350357,-499.3807819740374,763.8053411351373
2022-02-01,160.9599969405641,-465.3271986605441,790.9938842879693
2022-02-03,148.45823730001237,-458.8348463110682,803.8053059430396
2022-02-04,75.25063690554546,-548.1469747078315,687.8491780647055
2022-02-05,33.82062803729457,-572.5426091814969,686.1893858898437
2022-02-06,112.39064459149134,-540.0605739558558,737.3875269289423
2022-02-07,20.626494641073435,-549.7991917228742,730.2697634625288
2022-02-08,79.07376739565524,-539.8892878910649,713.9137862396356
