ds,yhat,yhat_lower,yhat_upper
2022-01-01,530.8625526873199,256.6661705542815,757.6093985128822
2022-01-02,523.5255207002434,275.42050611956967,767.5772922254883
2022-01-03,493.17571611442304,249.77680460949625,742.0878339462328
2022-01-04,530.2496006158445,280.25557751212176,785.6927228318569
2022-01-05,500.717442131742,246.8143364073203,759.4724272014238
2022-01-06,515.2512927719033,266.7435099647912,764.6178425693515
2022-01-07,533.7954271321902,271.666917739428,776.7854619890493
2022-01-08,531.0396071613699,290.4293611011278,770.2903532537781
2022-01-09,522.4832908129173,275.0751179843189,761.2187157323717
2022-01-10,491.66542013369985,246.05044849458952,734.6700104133323
2022-01-11,529.0115144083841,268.79736649094707,777.3284726672568
2022-01-12,500.4616639863458,245.05020842404747,763.4287558073718
2022-01-13,516.6396734862229,284.73599125962266,755.5994457194444
2022-01-14,537.4251398481666,266.1363451383206,790.3480429722304
2022-01-15,537.4287808125438,302.4298701875324,806.2881063466543
2022-01-16,532.0590691171548,279.9367923440276,766.9585465557124
2022-01-17,504.7547366358323,248.45269402937367,775.7956528207035
2022-01-18,545.8347952398108,310.68520746415135,795.5747062014249
2022-01-19,521.129586027249,277.21168661032203,757.1747929453958
2022-01-20,541.153018897233,286.1470212701168,792.5447127782553
2022-01-21,565.6777009475175,307.3967887017625,822.4329103499141
2022-01-22,569.2131844677191,310.4748944767555,820.051826760279
2022-01-23,567.0753095694876,293.4129539400879,809.665794688574
2022-01-24,542.6211322210867,302.1232243493501,785.3213043425409
2022-01-25,586.101019817782,323.71786112170247,823.7422714716758
2022-01-26,563.2913718545468,311.8914995132621,811.5525853440519
2022-01-27,584.6680856094837,323.8749125739273,812.9738870474998
2022-01-28,609.9824363462634,367.286350788804,849.468840941549
2022-01-29,613.7395876475383,384.41035476598375,867.6955709126631
2022-01-30,611.26770587396,366.4647994327675,872.9605412319988
2022-01-31,585.9521824921667,329.24535343030647,852.8102327736153
2022-02-01,628.0865728968312,378.54902593478675,889.5118613273414
2022-02-02,603.5037484285359,372.11166733524044,849.6298311960238
2022-02-03,622.747432035613,369.7563703070321,871.0581071173012
2022-02-04,645.6458474740701,400.63111315272374,900.2553671564224
2022-02-05,646.7877660710279,416.54650856794143,890.5317229290237
2022-02-06,641.588999442114,392.2656520951677,892.822050906163
2022-02-07,613.5239200842601,354.6828824117327,874.5421506651523
2022-02-08,652.9736981504018,411.2402405206956,895.4401209944695
2022-02-09,625.8548299649317,360.56937529779543,871.0754655538497
2022-02-10,642.78820450061,411.9775958213796,889.660818355479
2022-02-11,663.6705080957186,407.2371390198671,917.3657932530608
2022-02-12,663.1483153620472,425.54523850631614,907.8217320454569
2022-02-13,656.6829676077647,407.96632207647167,914.2047614781767
2022-02-14,627.7808657453538,368.2286009648617,871.0635140055762
2022-02-15,666.840897374562,431.9784028627898,937.5660590688058
2022-02-16,639.7825932564476,377.6640244469474,891.9771886430973
2022-02-17,657.2152659369848,429.2154943005006,893.7268455314769
2022-02-18,679.0099244192114,439.54177059661015,912.8292682986054
2022-02-19,679.7742929017917,430.62441064685083,921.7523217390625
2022-02-20,674.9190048698896,416.0516029609912,949.4121904812779
2022-02-21,647.889555770545,395.50372107538874,889.5040304171507
2022-02-22,689.0156824624696,444.99123016698854,938.0215932876313
